,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Opuwo,NA,-18.0607,13.84,68.65,86,100,4.36,light rain
348,Faya,SA,18.3851,42.4509,50.11,48,67,2.39,broken clouds
349,Hambantota,LK,6.1241,81.1185,75.45,83,90,14.41,overcast clouds
350,Cibinong,ID,-6.4817,106.8542,78.13,79,99,3.06,overcast clouds
351,Oranjemund,NA,-28.55,16.4333,64.69,89,0,9.46,clear sky
352,Keetmanshoop,NA,-26.5833,18.1333,74.32,68,100,13.8,overcast clouds
353,Coihaique,CL,-45.5752,-72.0662,76.95,33,0,9.22,clear sky
354,Guerrero,MX,17.6667,-100.0,72.9,46,87,0.87,overcast clouds
355,Manokwari,ID,-0.8667,134.0833,81.23,69,100,4.34,overcast clouds
356,Tailai,CN,46.3833,123.4,-2.22,94,100,6.6,overcast clouds
357,Hammerfest,NO,70.6634,23.6821,18.05,79,75,1.14,light snow
358,Bud,US,39.447,-86.1758,22.12,74,100,9.82,overcast clouds
359,Sirsi,IN,14.6167,74.85,62.94,77,0,2.75,clear sky
360,Kaduqli,SD,11.0167,29.7167,72.05,15,9,11.52,clear sky
361,Aykino,RU,62.2248,49.9922,2.28,100,96,3.13,overcast clouds
362,Jiuquan,CN,39.7432,98.5174,23.72,60,100,3.51,overcast clouds
363,Kifri,IQ,34.6959,44.9661,52.93,43,0,2.04,clear sky
364,Sturgeon Falls,CA,46.3646,-79.9326,-0.44,93,81,1.05,broken clouds
365,Naze,JP,28.3667,129.4833,58.12,85,100,17.92,overcast clouds
366,Shingu,JP,33.7333,135.9833,45.91,77,100,4.25,overcast clouds
367,The Valley,AI,18.217,-63.0578,77.14,73,75,11.5,broken clouds
368,Tarauaca,BR,-8.1614,-70.7656,73.38,98,97,3.02,light rain
369,Synya,RU,65.3718,58.0387,5.04,97,83,5.39,broken clouds
370,Padang,ID,-0.9492,100.3543,76.42,78,95,4.0,overcast clouds
371,Aksay,RU,47.26,39.87,32.25,55,0,3.0,clear sky
372,Mazagao,BR,-0.115,-51.2894,78.85,96,88,3.38,overcast clouds
373,Zyryanka,RU,65.75,150.85,-27.47,94,25,6.89,scattered clouds
374,Almansa,ES,38.8692,-1.0971,49.6,73,95,9.15,overcast clouds
375,Coahuayana,MX,18.7333,-103.6833,94.48,50,96,4.99,overcast clouds
376,Namibe,AO,-15.1961,12.1522,74.75,82,100,2.8,overcast clouds
377,Bousso,TD,10.4795,16.7117,76.75,15,55,8.23,broken clouds
378,Santiago Del Estero,AR,-27.7951,-64.2615,73.81,32,0,6.62,clear sky
379,Mugango,TZ,-1.6833,33.7,68.14,74,91,6.11,overcast clouds
380,Maniitsoq,GL,65.4167,-52.9,1.53,86,100,7.31,light snow
381,Marawi,PH,7.9986,124.2928,64.65,79,100,1.14,overcast clouds
382,Fort Saint James,CA,54.4333,-124.25,34.47,98,100,1.48,overcast clouds
383,Albanel,CA,48.8832,-72.4487,-18.42,63,99,3.44,overcast clouds
384,Ayan,RU,56.45,138.1667,-6.36,82,6,5.3,clear sky
385,Peterhead,GB,57.5058,-1.7981,40.57,90,100,15.05,light rain
386,Geraldton,AU,-28.7667,114.6,75.61,83,40,3.44,scattered clouds
387,Roebourne,AU,-20.7833,117.1333,90.27,49,69,8.59,broken clouds
388,San Policarpo,PH,12.1791,125.5072,79.83,79,100,12.71,overcast clouds
389,Anju,KP,39.6178,125.6647,30.74,97,100,2.06,snow
390,Limon,CR,10.0,-83.0333,76.71,85,35,6.87,scattered clouds
391,Marsa Matruh,EG,31.3525,27.2453,53.8,76,40,5.75,scattered clouds
392,Nanyang,CN,32.9947,112.5328,38.21,80,89,2.19,overcast clouds
393,Soskovo,RU,52.7475,35.3828,18.84,87,67,11.52,broken clouds
394,Malabor,PH,11.2729,122.0466,79.95,73,100,2.24,overcast clouds
395,New Waterford,US,40.8451,-80.6145,24.17,70,100,1.99,overcast clouds
396,Quang Ngai,VN,15.1167,108.8,72.91,93,100,6.4,overcast clouds
397,Itaituba,BR,-4.2761,-55.9836,74.41,90,55,2.33,broken clouds
398,Tezu,IN,27.9167,96.1667,51.62,43,0,4.97,clear sky
399,Pacific Grove,US,36.6177,-121.9166,85.57,69,0,7.0,clear sky
400,Quincy,US,42.2529,-71.0023,29.46,90,100,10.36,snow
401,Honningsvag,NO,70.9821,25.9704,19.54,86,100,7.25,light snow
402,Camana,PE,-16.6228,-72.7111,72.16,80,16,7.9,few clouds
403,Orel-Izumrud,RU,43.4583,39.9244,39.22,81,94,6.71,overcast clouds
404,Loknya,RU,56.83,30.1467,26.53,84,100,11.16,light snow
405,Mgandu,TZ,-5.95,34.1333,61.66,94,100,3.47,light rain
406,Karratha,AU,-20.7377,116.8463,89.26,50,79,5.95,broken clouds
407,Bilibino,RU,68.0546,166.4372,-26.28,98,84,1.68,broken clouds
408,Makakilo City,US,21.3469,-158.0858,79.61,47,0,11.5,clear sky
409,Sola,VU,-13.8833,167.55,83.07,79,75,0.0,broken clouds
410,Tupancireta,BR,-29.0806,-53.8358,67.28,32,10,8.03,clear sky
411,Beloha,MG,-25.1667,45.05,74.07,89,11,8.77,few clouds
412,Spirit River,CA,55.7833,-118.8361,36.12,91,100,7.65,overcast clouds
413,Beringovskiy,RU,63.05,179.3167,-21.23,94,15,8.61,few clouds
414,Benguela,AO,-12.5763,13.4055,75.52,82,91,2.53,overcast clouds
415,Lasa,IT,46.6166,10.7002,27.86,68,1,1.92,clear sky
416,Dauphin,CA,51.1494,-100.0502,-3.86,77,0,12.66,clear sky
417,Sundsvall,SE,62.3913,17.3063,31.96,88,49,3.44,fog
418,Fort Nelson,CA,58.8053,-122.7002,8.19,66,40,3.44,scattered clouds
419,Khuzdar,PK,27.7384,66.6434,53.56,36,31,2.37,scattered clouds
420,Birao,CF,10.2849,22.7882,69.37,12,47,7.36,scattered clouds
421,Hongjiang,CN,27.11,109.9956,42.93,89,96,1.07,overcast clouds
422,Erzin,TR,36.9559,36.2,43.52,82,44,2.89,scattered clouds
423,Labuhan,ID,-6.8844,112.2051,75.52,93,100,6.98,moderate rain
424,Madaoua,NE,14.073,5.96,70.05,12,4,9.62,clear sky
425,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.62,94,99,2.17,overcast clouds
426,Comarapa,BO,-17.9,-64.4833,54.99,94,90,1.41,overcast clouds
427,Lufkin,US,31.3382,-94.7291,59.11,33,0,6.91,clear sky
428,Salinopolis,BR,-0.6136,-47.3561,77.09,91,100,9.08,light rain
429,Tehri,IN,30.3833,78.4833,48.25,46,0,5.17,clear sky
430,Khani,GE,41.9563,42.9566,31.57,80,90,7.2,overcast clouds
431,Lavrentiya,RU,65.5833,-171.0,-17.1,91,27,3.29,scattered clouds
432,Storforshei,NO,66.4043,14.5233,15.82,97,70,2.04,broken clouds
433,Peniche,PT,39.3558,-9.3811,55.62,90,5,16.71,clear sky
434,Matara,LK,5.9485,80.5353,72.43,89,93,8.59,overcast clouds
435,Ano Mera,GR,37.45,25.4,52.66,70,96,28.5,overcast clouds
436,La Romana,DO,18.4273,-68.9728,79.16,78,20,6.91,few clouds
437,Blackwater,AU,-23.5833,148.8833,81.84,45,0,16.51,clear sky
438,Sistranda,NO,63.7256,8.834,35.91,61,100,19.55,overcast clouds
439,Luderitz,NA,-26.6481,15.1594,71.6,66,0,9.91,clear sky
440,Corinto,GR,37.9407,22.9573,49.68,77,21,2.91,few clouds
441,Sawakin,SD,19.1059,37.3321,71.29,54,56,9.73,broken clouds
442,Udachnyy,RU,66.4167,112.4,-22.56,90,72,1.52,broken clouds
443,Warkworth,NZ,-36.4,174.6667,73.44,51,63,4.36,broken clouds
444,Denpasar,ID,-8.65,115.2167,78.46,88,75,3.44,broken clouds
445,Kudahuvadhoo,MV,2.6708,72.8944,80.55,77,99,6.62,overcast clouds
446,Lonavale,IN,18.75,73.4167,66.24,63,4,2.21,clear sky
447,Biltine,TD,14.5333,20.9167,72.34,11,100,15.03,overcast clouds
448,Viedma,AR,-40.8135,-62.9967,78.87,27,0,6.44,clear sky
449,Ayna,PE,-12.65,-73.9167,77.5,93,79,0.4,broken clouds
450,Boueni,YT,-12.9025,45.0761,76.98,73,2,5.44,clear sky
451,Ancud,CL,-41.8697,-73.8203,71.22,90,11,2.1,few clouds
452,Dwarka,IN,22.2394,68.9678,68.77,61,0,8.75,clear sky
453,Suseni,RO,46.6667,25.55,21.54,90,100,0.45,overcast clouds
454,Pacifica,US,37.6138,-122.4869,81.68,58,5,4.68,clear sky
455,Berbera,SO,10.4396,45.0143,73.36,73,57,5.55,broken clouds
456,Antofagasta,CL,-23.65,-70.4,69.08,80,87,6.29,overcast clouds
457,Kattivakkam,IN,13.2167,80.3167,79.07,78,6,6.24,clear sky
458,Camabatela,AO,-8.1881,15.375,61.54,98,100,2.13,light rain
459,San Quintin,MX,30.4833,-115.95,72.68,29,4,11.68,clear sky
460,Umm Lajj,SA,25.0213,37.2685,66.42,33,0,13.06,clear sky
461,Kavieng,PG,-2.5744,150.7967,81.99,77,97,6.24,moderate rain
462,Maragogi,BR,-9.0122,-35.2225,80.58,74,32,13.8,scattered clouds
463,Dalby,AU,-27.1833,151.2667,74.1,48,3,19.22,clear sky
464,Kemijarvi,FI,66.7131,27.4306,28.85,97,100,7.27,light snow
465,Hualmay,PE,-11.0964,-77.6139,72.3,78,19,10.02,few clouds
466,Tokur,RU,53.1333,132.9,-5.15,98,79,2.3,broken clouds
467,Haines Junction,CA,60.7522,-137.5108,24.75,63,100,0.0,overcast clouds
468,Rocha,UY,-34.4833,-54.3333,59.72,65,4,6.91,clear sky
469,Vadso,NO,70.0744,29.7487,21.36,86,100,11.5,snow
470,Aykhal,RU,66.0,111.5,-7.85,49,55,1.12,broken clouds
471,Kukshi,IN,22.2,74.75,66.22,38,1,4.74,clear sky
472,Jinchang,CN,38.4953,102.1739,20.84,76,80,6.62,broken clouds
473,San Patricio,US,28.017,-97.5169,66.61,23,35,5.37,scattered clouds
474,Namatanai,PG,-3.6667,152.4333,83.77,69,99,5.44,overcast clouds
475,Pinotepa Nacional,MX,16.3167,-98.0167,81.9,54,90,5.64,overcast clouds
476,Fereydunshahr,IR,32.941,50.121,13.01,59,0,3.51,clear sky
477,Oxapampa,PE,-10.5775,-75.4017,59.72,97,100,2.57,overcast clouds
478,Lodja,CD,-3.4833,23.4333,68.85,93,98,2.3,overcast clouds
479,Ascension,US,30.2169,-90.9001,56.07,26,1,6.31,clear sky
480,Hami,CN,42.8,93.45,24.87,47,31,4.43,scattered clouds
481,Tungor,RU,53.3808,142.9564,-7.76,92,17,11.36,few clouds
482,Tashtagol,RU,52.7657,87.8894,11.98,96,100,2.98,overcast clouds
483,Barcelona,ES,41.3888,2.159,56.77,84,40,14.97,scattered clouds
484,Mattru,SL,7.6244,-11.8332,74.89,94,36,2.35,scattered clouds
485,Mantua,IT,45.1667,10.7833,41.7,73,35,1.99,scattered clouds
486,Terre Haute,US,39.4667,-87.4139,22.82,86,100,9.22,overcast clouds
487,Sibolga,ID,1.7427,98.7792,75.18,88,76,3.62,broken clouds
488,Ketchikan,US,55.3422,-131.6461,48.18,87,100,5.75,overcast clouds
489,Biu,NG,10.6129,12.1946,70.16,18,33,7.65,scattered clouds
490,Marzuq,YE,14.4,46.4667,55.65,49,22,3.06,few clouds
491,Araouane,ML,18.9048,-3.5265,61.32,20,82,11.54,broken clouds
492,Nemuro,JP,43.3236,145.575,26.46,90,100,12.82,overcast clouds
493,Bandarbeyla,SO,9.4942,50.8122,73.72,69,23,12.84,few clouds
494,Shagamu,NG,6.8432,3.6478,82.18,78,8,3.33,clear sky
495,Songea,TZ,-10.6833,35.65,63.39,97,100,1.41,overcast clouds
496,Ouallam,NE,14.3188,2.0866,75.07,11,1,7.31,clear sky
497,Manzanillo,CU,20.3433,-77.1167,76.32,81,7,7.29,clear sky
498,Bowen,AU,-20.0167,148.2333,79.02,63,42,18.99,scattered clouds
499,Katobu,ID,-4.9408,122.5276,77.92,87,71,4.61,broken clouds
500,Erenhot,CN,43.6475,111.9767,-8.59,95,12,1.23,few clouds
501,Coffs Harbour,AU,-30.3,153.1333,72.14,90,100,11.5,overcast clouds
502,Nueva Loja,EC,0.0847,-76.8828,73.81,93,98,1.63,overcast clouds
503,Pendleton,US,45.6721,-118.7886,57.6,44,0,3.44,clear sky
504,Cooma,AU,-36.2333,149.1333,69.57,64,93,6.91,overcast clouds
505,Mumford,GH,5.2618,-0.759,79.52,84,86,9.75,overcast clouds
506,Olafsvik,IS,64.8945,-23.7142,32.27,73,100,14.29,snow
507,Verkhoyansk,RU,67.5447,133.385,-20.78,94,99,1.3,overcast clouds
508,Hasaki,JP,35.7333,140.8333,36.28,68,100,29.59,overcast clouds
509,Datong,CN,40.0936,113.2914,1.69,83,6,2.95,clear sky
510,Sainte-Rose,GP,16.3324,-61.6979,76.17,77,28,15.75,scattered clouds
511,Snyder,US,32.7179,-100.9176,64.54,13,0,5.75,clear sky
512,Calama,CL,-22.4667,-68.9333,70.29,19,0,25.32,clear sky
513,Port Hedland,AU,-20.3167,118.5667,84.25,65,10,12.66,clear sky
514,Issenye,TZ,-2.0,34.3333,63.34,90,94,3.85,overcast clouds
515,Nanhai,CN,30.1282,111.7784,39.13,91,5,4.43,clear sky
516,Havelock,US,34.8791,-76.9013,45.05,85,100,3.0,overcast clouds
517,Pavlovskaya Sloboda,RU,55.8156,37.0828,28.81,84,100,11.74,light snow
518,Pelotas,BR,-31.7719,-52.3425,64.85,68,0,1.01,light rain
519,Daru,PG,-9.0763,143.2092,84.16,67,27,10.38,scattered clouds
520,Yei,SS,4.095,30.6779,75.58,38,43,1.21,scattered clouds
521,Touba,CI,8.2833,-7.6833,76.28,20,14,2.59,few clouds
522,Batagay-Alyta,RU,67.8006,130.4114,-12.32,78,99,4.74,overcast clouds
523,Valleyview,CA,55.0667,-117.2859,35.64,60,94,2.3,overcast clouds
524,Gushikawa,JP,26.3544,127.8686,63.99,94,75,8.05,moderate rain
525,Banamba,ML,13.55,-7.45,67.15,14,2,8.88,clear sky
526,Kieta,PG,-6.2167,155.6333,82.06,77,80,2.73,broken clouds
527,Sterling,US,39.0062,-77.4286,33.31,74,40,6.91,scattered clouds
528,Ossora,RU,59.2353,163.0719,-1.66,77,55,6.73,broken clouds
529,Katangli,RU,51.7102,143.2326,-1.48,84,11,8.25,few clouds
530,Stromness,GB,58.965,-3.296,40.96,86,100,12.41,overcast clouds
531,Ucluelet,CA,48.9329,-125.5528,50.09,72,99,3.0,overcast clouds
532,Adrar,MR,20.5022,-10.0711,61.81,22,81,11.52,broken clouds
533,Sangamner,IN,19.5667,74.2167,64.06,53,2,3.18,clear sky
534,Tonbridge,GB,51.1924,0.2753,51.01,78,100,1.99,moderate rain
535,Jati,PK,24.3539,68.2671,63.19,66,0,6.73,clear sky
536,Champerico,GT,14.3,-91.9167,89.94,65,1,6.71,clear sky
537,Kiunga,PG,-6.1219,141.2906,83.34,72,88,2.24,overcast clouds
538,Srednekolymsk,RU,67.45,153.6833,-27.92,97,25,6.26,scattered clouds
539,College,US,64.8569,-147.8028,15.21,80,100,6.91,light snow
540,Kinablangan,PH,7.6947,126.5503,79.57,77,50,2.93,scattered clouds
541,Coyoles,MX,19.4825,-96.6858,58.28,58,96,4.81,overcast clouds
542,Kirkuk,IQ,35.4681,44.3922,50.43,48,9,7.07,clear sky
543,Mayo,US,38.8876,-76.5119,34.21,65,100,10.36,overcast clouds
544,Shafter,US,35.5005,-119.2718,83.19,20,3,7.63,clear sky
545,Kpandae,GH,8.4689,-0.0113,85.1,52,99,8.61,overcast clouds
546,Qiongshan,CN,20.0058,110.3542,60.78,94,75,13.42,mist
547,Fiche,ET,9.8,38.7333,51.08,55,25,3.22,scattered clouds
548,Port Macquarie,AU,-31.4333,152.9167,75.88,67,54,9.8,broken clouds
549,Tiarei,PF,-17.5333,-149.3333,87.82,76,85,15.95,light rain
550,Charlestown,AU,-32.95,151.6667,78.82,67,94,3.0,overcast clouds
551,Yeppoon,AU,-23.1333,150.7333,80.38,74,49,20.83,scattered clouds
552,Kenai,US,60.5544,-151.2583,35.02,95,100,6.91,fog
553,Gamba,GA,-2.65,10.0,77.14,87,97,2.46,overcast clouds
554,Tomatlan,MX,19.9333,-105.25,87.44,32,95,8.46,overcast clouds
555,Pindiga,NG,9.9833,10.9333,73.8,17,32,11.25,scattered clouds
556,Monte Alegre,BR,-2.0078,-54.0692,76.1,86,87,3.96,overcast clouds
557,Trincomalee,LK,8.5711,81.2335,79.25,70,62,10.8,broken clouds
558,Kemin,KG,42.7846,75.6892,25.38,74,100,3.09,overcast clouds
559,Ponta Delgada,PT,37.7333,-25.6667,59.5,62,75,6.91,broken clouds
560,Nizhniy Kuranakh,RU,58.8353,125.4869,-19.46,99,100,2.06,overcast clouds
561,Konakovo,RU,56.7,36.7667,24.98,83,100,11.52,overcast clouds
562,Mandalgovi,MN,45.7625,106.2708,-7.96,89,54,7.23,broken clouds
563,Selikhino,RU,50.3672,137.4996,7.83,96,98,5.93,overcast clouds
564,Svetlyy,RU,54.675,20.1347,35.65,75,100,17.22,overcast clouds
565,Purranque,CL,-40.9167,-73.1667,76.33,66,7,3.87,clear sky
566,Shu,KZ,43.5983,73.7614,29.1,88,100,0.67,overcast clouds
567,Ulaangom,MN,49.9811,92.0667,-30.08,96,96,3.06,overcast clouds
568,Marsabit,KE,2.3284,37.9899,69.48,42,40,7.99,scattered clouds
569,Poya,NC,-21.35,165.15,86.94,64,98,4.72,overcast clouds
570,Lamu,KE,-2.2717,40.902,79.02,87,55,8.57,broken clouds
571,Ust-Maya,RU,60.4167,134.5333,-21.53,97,98,1.74,overcast clouds
572,Rovaniemi,FI,66.5,25.7167,27.81,100,100,10.36,overcast clouds
573,Umm Kaddadah,SD,13.6017,26.6876,63.84,18,9,15.35,clear sky
574,Caldwell,US,43.6629,-116.6874,48.67,46,0,6.91,clear sky
575,Hofn,IS,64.2539,-15.2082,21.99,64,17,9.08,few clouds
576,Gweta,BW,-20.1833,25.2333,76.17,41,43,8.99,scattered clouds
577,Wasilla,US,61.5814,-149.4394,33.78,89,100,1.01,light snow
578,Proletariy,RU,58.4342,31.7046,29.55,94,100,13.85,light snow
579,Saint-Denis,FR,48.9167,2.3333,55.18,65,75,19.57,broken clouds
580,Kralendijk,BQ,12.15,-68.2667,78.78,73,40,16.11,scattered clouds
581,Sangueya,GN,10.7,-14.3667,71.15,88,6,2.08,clear sky
582,Derzhavinsk,KZ,51.1,66.3167,20.32,96,100,11.92,light snow
583,Taylorville,US,39.5489,-89.2945,20.21,68,100,13.8,overcast clouds
584,Guerrero Negro,MX,27.9769,-114.0611,76.35,25,12,12.26,few clouds
585,Gravdal,NO,68.1214,13.5031,32.95,60,95,25.57,light snow
586,Atasu,KZ,48.6814,71.6433,24.26,96,100,11.56,overcast clouds
587,Prainha,BR,-1.8,-53.48,74.91,90,83,3.42,broken clouds
588,San Cristobal,VE,7.7669,-72.225,75.38,75,91,1.83,overcast clouds
589,Yumen,CN,40.2833,97.2,23.2,50,74,14.05,broken clouds
590,Siilinjarvi,FI,63.0833,27.6667,33.82,93,100,14.97,light snow
591,Aqtobe,KZ,50.2797,57.2072,19.49,86,100,13.42,overcast clouds
592,Mutis,CO,6.2262,-77.4044,78.15,88,99,2.59,light rain
593,Huntsville,US,34.7304,-86.5861,42.93,40,0,5.75,clear sky
594,Yuncheng,CN,35.0231,110.9928,34.5,71,7,4.52,clear sky
595,Suratgarh,IN,29.3167,73.9,57.7,49,0,8.5,clear sky
596,Trinidad,BO,-14.8333,-64.9,80.58,74,67,5.75,broken clouds
597,Salinas,US,36.6777,-121.6555,85.98,39,0,12.66,clear sky
598,Safford,US,32.834,-109.7076,72.52,17,0,3.44,clear sky
599,Assai,BR,-23.3733,-50.8414,85.86,77,47,1.81,scattered clouds
600,Bandar,ID,2.05,99.75,72.43,97,99,1.57,overcast clouds
601,Sagua La Grande,CU,22.8067,-80.0756,79.79,87,99,9.86,overcast clouds
602,Eyl,SO,7.9803,49.8164,72.68,69,70,13.96,broken clouds
603,Seoul,KR,37.5683,126.9778,31.44,87,0,1.14,clear sky
604,High Level,CA,58.5169,-117.136,5.11,72,75,2.3,broken clouds
605,Altay,CN,47.8667,88.1167,7.77,74,85,5.23,overcast clouds
606,Nisia Floresta,BR,-6.0911,-35.2086,83.21,75,1,11.81,clear sky
607,Santa Fe,AR,-31.6333,-60.7,77.0,41,1,4.0,clear sky
608,Havoysund,NO,70.9963,24.6622,18.48,91,100,6.42,light snow
609,Chulym,RU,55.0997,80.9572,18.16,92,100,17.34,light snow
610,Lashio,MM,22.9333,97.75,44.38,58,1,1.79,clear sky
611,Kununurra,AU,-15.7667,128.7333,73.38,100,75,4.61,thunderstorm
612,Kushima,JP,31.4583,131.2333,48.24,90,100,7.27,overcast clouds
613,Arman,RU,59.7,150.1667,-3.46,78,49,9.37,scattered clouds
614,Kilindoni,TZ,-7.9139,39.6668,79.65,81,98,9.69,overcast clouds
615,Rassvet,RU,46.8333,40.75,26.29,85,0,4.25,clear sky
616,Buckeye,US,33.3703,-112.5838,82.85,10,0,9.22,clear sky
617,Aragarcas,BR,-15.8975,-52.2508,73.04,96,47,3.62,scattered clouds
618,Podyuga,RU,61.095,40.8647,26.31,95,100,9.46,light snow
619,Kalianget,ID,-7.05,113.9333,78.03,81,97,5.41,heavy intensity rain
620,Riviere-Au-Renard,CA,48.9957,-64.3971,8.6,92,51,8.61,broken clouds
621,Biak,ID,-0.9131,122.8766,76.51,82,99,3.27,overcast clouds
622,Pochutla,MX,15.7432,-96.4661,87.82,59,49,4.7,scattered clouds
623,Suchiapa,MX,16.6167,-93.0833,73.72,60,75,27.63,broken clouds
624,Bagrami,AF,34.4938,69.2743,33.17,74,100,5.23,light snow
625,Tonneins,FR,44.3921,0.3124,53.71,82,100,13.65,overcast clouds
626,Carballo,ES,43.213,-8.691,49.87,90,49,7.76,scattered clouds
627,Marseille,FR,43.3333,5.5,49.55,80,97,7.0,overcast clouds
628,Joetsu,JP,37.1483,138.2364,37.42,73,100,5.03,overcast clouds
629,Tilzapotla,MX,18.4833,-99.2667,85.26,30,81,8.01,broken clouds
630,General Pico,AR,-35.6566,-63.7568,65.77,42,0,7.67,clear sky
631,Kazachinskoye,RU,57.6953,93.2761,-7.58,93,37,8.55,scattered clouds
632,Oskarshamn,SE,57.2645,16.4484,37.17,73,100,11.34,overcast clouds
633,Sioux Lookout,CA,50.1001,-91.917,-1.82,59,100,2.3,overcast clouds
634,Shahrud,IR,36.4182,54.9763,33.85,77,6,9.24,clear sky
635,Jiaohe,CN,43.7286,127.3447,8.67,91,100,5.46,light snow
636,Harnosand,SE,62.6323,17.9379,32.0,89,62,6.85,broken clouds
637,Santa Cruz,BO,-17.8,-63.1667,80.65,57,89,5.75,overcast clouds
638,Muhlhausen,DE,51.2167,10.45,44.04,65,94,12.12,overcast clouds
639,Lubumbashi,CD,-11.6609,27.4794,62.67,94,100,2.3,overcast clouds
640,Te Anau,NZ,-45.4167,167.7167,61.68,54,51,1.07,broken clouds
641,Guozhen,CN,34.3659,107.359,37.56,75,64,2.13,broken clouds
642,Vysha,RU,53.8477,42.3777,16.97,95,88,6.58,overcast clouds
643,Amahai,ID,-3.3333,128.9167,78.87,83,100,2.17,overcast clouds
644,Joao Pinheiro,BR,-17.7425,-46.1725,67.84,94,24,3.13,heavy intensity rain
645,Walvis Bay,NA,-22.9575,14.5053,72.55,83,4,3.44,light rain
646,Nabire,ID,-3.3667,135.4833,81.9,76,97,2.98,overcast clouds
647,Kouroussa,GN,10.65,-9.8833,74.71,16,6,3.11,clear sky
648,Dhidhdhoo,MV,6.8833,73.1,79.57,76,100,3.27,overcast clouds
649,Maebaru,JP,33.55,130.2,44.26,71,97,12.12,overcast clouds
650,Borovoy,RU,55.4333,86.0833,18.68,86,100,11.18,light snow
651,Metro,ID,-5.1131,105.3067,76.14,89,100,0.98,overcast clouds
652,Kamaishi,JP,39.2667,141.8833,23.95,49,78,4.52,broken clouds
653,Songjianghe,CN,42.1859,127.479,14.32,92,100,1.54,light snow
654,Merauke,ID,-8.4667,140.3333,83.19,70,71,10.96,broken clouds
655,Bangangte,CM,5.1409,10.5198,63.73,62,44,3.94,scattered clouds
656,Lampang,TH,18.3333,99.5,69.85,65,65,0.0,broken clouds
657,Savannah Bight,HN,16.45,-85.85,80.65,74,8,15.35,clear sky
658,Qandala,SO,11.472,49.8728,72.93,64,35,3.94,scattered clouds
659,Upington,ZA,-28.4478,21.2561,77.38,61,0,0.0,clear sky
660,Popondetta,PG,-8.7537,148.2534,81.46,82,87,2.66,moderate rain
661,Erzincan,TR,39.75,39.5,22.3,86,0,1.14,clear sky
662,Khasan,RU,42.4308,130.6434,18.48,55,100,6.31,overcast clouds
663,Pishin,PK,30.5803,66.9961,45.54,55,96,4.99,overcast clouds
664,Altar,MX,30.7,-111.8167,83.19,6,4,5.03,clear sky
665,Tuensang,IN,26.2833,94.8333,46.27,75,0,3.58,clear sky
666,Zabaykalsk,RU,49.6333,117.3167,-22.22,99,54,4.56,broken clouds
667,Tianpeng,CN,30.9866,103.9393,46.87,77,100,2.62,overcast clouds
668,Manyana,BW,-23.4,21.7167,73.4,39,95,5.17,overcast clouds
669,Wilmington Island,US,32.0036,-80.9737,60.84,53,100,19.57,overcast clouds
