,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sheridan,US,44.8333,-106.9173,52.18,28,0,18.41,clear sky
80,Severo-Kurilsk,RU,50.6789,156.125,25.16,67,24,13.42,few clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,76.55,90,91,1.99,overcast clouds
82,Vila,PT,42.0304,-8.1588,41.32,93,90,5.93,light rain
83,Hithadhoo,MV,-0.6,73.0833,82.04,73,81,10.74,broken clouds
84,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,89,9,11.25,clear sky
85,Kribi,CM,2.95,9.9167,79.74,81,92,7.9,overcast clouds
86,Avera,US,33.194,-82.5271,54.28,32,6,16.96,clear sky
87,Qaanaaq,GL,77.484,-69.3632,-9.56,80,93,6.17,overcast clouds
88,Eureka,US,40.8021,-124.1637,72.68,74,92,3.36,overcast clouds
89,Atuona,PF,-9.8,-139.0333,78.08,77,19,12.91,light rain
90,Souillac,MU,-20.5167,57.5167,81.36,94,40,8.05,scattered clouds
91,Bluff,NZ,-46.6,168.3333,62.8,65,34,0.34,scattered clouds
92,Okitipupa,NG,6.5047,4.7839,75.99,95,40,2.68,scattered clouds
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.26,89,5,11.74,clear sky
94,East London,ZA,-33.0153,27.9116,73.27,81,87,11.56,overcast clouds
95,Morki,RU,56.4303,48.9947,2.62,100,92,2.82,overcast clouds
96,Gore,NZ,-46.1028,168.9436,62.22,50,24,1.39,few clouds
97,Ondangwa,NA,-17.9167,15.95,73.4,94,88,5.75,overcast clouds
98,Constitucion,CL,-35.3333,-72.4167,63.77,80,58,6.2,broken clouds
99,Iqaluit,CA,63.7506,-68.5145,-14.31,62,100,6.91,light snow
100,Inuvik,CA,68.3499,-133.7218,-26.54,68,75,0.0,light snow
101,Filadelfia,US,39.9523,-75.1638,32.92,84,100,6.91,overcast clouds
102,Tiksi,RU,71.6872,128.8694,-12.68,93,12,11.59,few clouds
103,Taltal,CL,-25.4,-70.4833,69.17,73,21,5.21,few clouds
104,Riyadh,SA,24.6877,46.7219,50.14,32,0,8.57,clear sky
